player_id,player,college_team,college_season,college_targets,college_contested_targets,college_contested_receptions,college_cc_rate,college_receptions,college_rec_yards,college_rec_tds,college_yac,college_yac_per_rec
63709,Spencer Curtis,NEVADA,2022,36,6,0,0.0,18,245,1,66,3.7
63709,Spencer Curtis,NEVADA,2023,56,16,6,0.375,30,411,1,175,5.8
63713,Isiah Jackson,WEBER ST,2021,1,0,0,,1,11,0,0,0.0
63720,Ty MacPherson,WEBER ST,2021,56,9,3,0.3333333333333333,37,478,2,219,5.9
63720,Ty MacPherson,WEBER ST,2022,111,27,10,0.3703703703703703,60,1011,11,290,4.8
63721,Colton Dowell,TENN MARTN,2021,42,9,5,0.5555555555555556,23,447,2,107,4.7
63721,Colton Dowell,TENN MARTN,2022,99,19,12,0.631578947368421,69,1056,6,282,4.1
63722,Xander Richards,E ILLINOIS,2021,19,2,0,0.0,11,130,0,36,3.3
63728,David Ames,WEBER ST,2021,0,0,0,,0,0,0,0,0.0
63729,Mitch Roberts,MONTANA,2021,77,14,8,0.5714285714285714,56,696,1,215,3.8
63729,Mitch Roberts,MONTANA,2022,97,26,9,0.3461538461538461,54,618,5,201,3.7
63736,Dante Hendrix,INDIANA ST,2021,66,6,0,0.0,44,465,3,121,2.8
63736,Dante Hendrix,INDIANA ST,2022,108,18,8,0.4444444444444444,51,726,4,260,5.1
63738,Wallace Corker,ALABAMA ST,2021,61,10,5,0.5,35,354,5,59,1.7
63742,Dontaze Costly,NICHOLLS,2021,45,9,2,0.2222222222222222,21,287,3,91,4.3
63743,Danny Burton,MONTANA,2021,4,3,0,0.0,1,14,0,6,6.0
63747,Caleb Smith,TOWSON,2021,89,21,14,0.6666666666666666,54,626,5,221,4.1
63748,Dai'Jean Dixon,NICHOLLS,2021,114,26,14,0.5384615384615384,72,1010,8,311,4.3
63923,Levi Tidwell,INWSLY,2022,0,0,0,,0,0,0,0,0.0
63923,Levi Tidwell,INWSLY,2023,5,1,0,0.0,2,55,1,14,7.0
64171,Ryan McCarthy,CITADEL,2021,12,2,0,0.0,8,119,1,36,4.5
64178,Cole Owens,CITADEL,2021,4,0,0,,0,0,0,0,0.0
