player,nfl_seasons,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate_weighted
Jalen Coker,2,18,13,72.2
Jake Bobo,3,10,7,70.0
Devaughn Vele,2,28,19,67.9
Ricky Pearsall,2,22,14,63.6
Jalen Nailor,4,19,12,63.2
Bo Melton,3,13,8,61.5
Malik Heath,3,15,9,60.0
Kayshon Boutte,3,25,15,60.0
Pat Bryant,1,15,9,60.0
Michael Wilson,3,73,43,58.9
