player,college_team,college_season,college_contested_targets,college_contested_receptions,college_cc_rate
Savion Williams,TCU,2022,10,10,100.0
Cassius Allen,SOUTHERN U,2022,12,10,83.3
Diante Vines,DOMINION,2024,11,9,81.8
Courtney Jackson,SYRACUSE,2021,11,9,81.8
Nykeim Johnson,KENT STATE,2021,11,9,81.8
Savion Williams,TCU,2024,11,9,81.8
Sean Brown,CHARLOTTE,2024,15,12,80.0
Kenny Johnson,PITTSBURGH,2024,14,11,78.6
Trebor Pena,SYRACUSE,2024,25,19,76.0
Chase Roberts,BYU,2024,20,15,75.0
