player,nfl_team,nfl_season,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate
Jalen Coker,Panthers,2025,8,7,87.5
Michael Thomas,Saints,2022,11,9,81.8
Stefon Diggs,Patriots,2025,14,11,78.6
Devaughn Vele,Saints,2025,13,10,76.9
Brandin Cooks,Bills,2025,13,10,76.9
Jalen Nailor,Vikings,2025,12,9,75.0
Ricky Pearsall,49ers,2025,12,9,75.0
Sterling Shepard,Buccaneers,2024,12,9,75.0
Demarcus Robinson,49ers,2025,8,6,75.0
Nico Collins,Texans,2022,16,12,75.0
