player,college_seasons,college_contested_targets,college_contested_receptions,college_cc_rate_weighted
Tre Harris,4,96,48,50.0
Tetairoa McMillan,3,94,42,44.7
Jayden Higgins,4,83,40,48.2
Darius Cooper,4,70,33,47.1
Jason Brownlee,2,67,26,38.8
Jalen Coker,3,65,26,40.0
Elic Ayomanor,2,65,29,44.6
Marvin Harrison Jr.,3,65,32,49.2
LaJohntay Wester,4,63,30,47.6
Konata Mumpfield,4,60,29,48.3
